run_id,protocol,n,seed,commit_hash,commit_latency_ms,finality_latency_ms,tps,goodput,consensus_msgs_per_acu,total_msgs_per_acu,bytes_per_acu
pbft-n10,pbft,10,13,24a491a4,1000.000003000,1000.000004000,9.500000,93.300000,19.800000,19.800000,47034.000000
pbft-n10,pbft,10,14,24a491a4,1000.000003000,1000.000004000,9.500000,91.400000,19.800000,19.800000,47034.000000
pbft-n10,pbft,10,15,24a491a4,1000.000003000,1000.000004000,9.500000,97.900000,19.800000,19.800000,47034.000000
pbft-n10,pbft,10,16,24a491a4,1000.000003000,1000.000004000,9.500000,97.600000,19.800000,19.800000,47034.000000
pbft-n10,pbft,10,17,24a491a4,1000.000003000,1000.000004000,9.500000,92.800000,19.800000,19.800000,47034.000000
pbft-n10,pbft,10,18,24a491a4,1000.000003000,1000.000004000,9.500000,95.800000,19.800000,19.800000,47034.000000
pbft-n10,pbft,10,19,24a491a4,1000.000003000,1000.000004000,9.500000,92.200000,19.800000,19.800000,47034.000000
pbft-n16,pbft,16,0,24a491a4,1000.000003000,1000.000004000,15.200000,92.850000,31.875000,31.875000,49533.750000
pbft-n16,pbft,16,1,24a491a4,1000.000003000,1000.000004000,15.200000,94.350000,31.875000,31.875000,49533.750000
pbft-n16,pbft,16,2,24a491a4,1000.000003000,1000.000004000,15.200000,95.100000,31.875000,31.875000,49533.750000
pbft-n16,pbft,16,3,24a491a4,1000.000003000,1000.000004000,15.200000,95.850000,31.875000,31.875000,49533.750000
pbft-n16,pbft,16,4,24a491a4,1000.000003000,1000.000004000,15.200000,92.650000,31.875000,31.875000,49533.750000
pbft-n16,pbft,16,5,24a491a4,1000.000003000,1000.000004000,15.200000,97.350000,31.875000,31.875000,49533.750000
pbft-n16,pbft,16,6,24a491a4,1000.000003000,1000.000004000,15.200000,97.050000,31.875000,31.875000,49533.750000
pbft-n16,pbft,16,7,24a491a4,1000.000003000,1000.000004000,15.200000,95.500000,31.875000,31.875000,49533.750000
pbft-n16,pbft,16,8,24a491a4,1000.000003000,1000.000004000,15.200000,97.500000,31.875000,31.875000,49533.750000
pbft-n16,pbft,16,9,24a491a4,1000.000003000,1000.000004000,15.200000,95.900000,31.875000,31.875000,49533.750000
pbft-n16,pbft,16,10,24a491a4,1000.000003000,1000.000004000,15.200000,92.300000,31.875000,31.875000,49533.750000
pbft-n16,pbft,16,11,24a491a4,1000.000003000,1000.000004000,15.200000,96.500000,31.875000,31.875000,49533.750000
pbft-n16,pbft,16,12,24a491a4,1000.000003000,1000.000004000,15.200000,92.500000,31.875000,31.875000,49533.750000
pbft-n16,pbft,16,13,24a491a4,1000.000003000,1000.000004000,15.200000,93.300000,31.875000,31.875000,49533.750000
pbft-n16,pbft,16,14,24a491a4,1000.000003000,1000.000004000,15.200000,91.400000,31.875000,31.875000,49533.750000
pbft-n16,pbft,16,15,24a491a4,1000.000003000,1000.000004000,15.200000,97.900000,31.875000,31.875000,49533.750000
pbft-n16,pbft,16,16,24a491a4,1000.000003000,1000.000004000,15.200000,97.600000,31.875000,31.875000,49533.750000
pbft-n16,pbft,16,17,24a491a4,1000.000003000,1000.000004000,15.200000,92.800000,31.875000,31.875000,49533.750000
pbft-n16,pbft,16,18,24a491a4,1000.000003000,1000.000004000,15.200000,95.800000,31.875000,31.875000,49533.750000
pbft-n16,pbft,16,19,24a491a4,1000.000003000,1000.000004000,15.200000,92.200000,31.875000,31.875000,49533.750000
pbft-n25,pbft,25,0,24a491a4,1000.000003000,1000.000004000,23.750000,92.850000,49.920000,49.920000,51552.000000
